Date,Count-Crashes,Count-Fatalities
2020-09-25,1,1
2020-09-27,1,1
2020-10-06,3,3
2020-10-08,2,2
2020-10-15,1,1
2020-10-16,1,1
2020-10-23,1,1
2020-10-29,1,1
2020-10-31,2,2
2020-11-05,1,1
2020-11-28,1,1
2020-12-03,1,1
2020-12-04,1,1
2020-12-11,2,3
2020-12-16,1,1
2020-12-25,1,1
2020-12-30,1,1
2020-12-31,1,1
