Date,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,conditions,description
1/1/2016,3.5,19.8,0,0,7.06,40.3,9.1,0.90%,Clear,Clear conditions throughout the day.
1/2/2016,4.6,23.5,0,0,7.02,33.3,7.7,62.30%,Partially cloudy,Partly cloudy throughout the day.
1/3/2016,19.1,26.2,0,0,6.73,34.4,5.8,83.40%,Partially cloudy,Partly cloudy throughout the day.
1/4/2016,18.2,30,0,0,6.48,28.9,7.9,82.30%,Partially cloudy,Partly cloudy throughout the day.
1/5/2016,27.3,38.4,0.01,0,6.03,,14.1,93.00%,"Snow, Overcast",Cloudy skies throughout the day with morning rain.
1/6/2016,29.7,38.6,0.08,0,5.3,46.1,7.5,91.20%,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
1/7/2016,31,33.9,0.03,1.36,5.87,,4.9,95.80%,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.
1/8/2016,30.7,35,0.12,0.58,6.45,,10.8,92.50%,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.
1/9/2016,29.6,34.9,0,2.86,7.6,,8.3,87.60%,Partially cloudy,Partly cloudy throughout the day.
1/10/2016,22.4,31.7,0,0,4.82,,8.6,80.50%,Partially cloudy,Partly cloudy throughout the day.
1/11/2016,19.3,32.5,0,0,4,,8.7,28.40%,Partially cloudy,Partly cloudy throughout the day.
1/12/2016,18.3,33.2,0,0,4,,10.7,43.00%,Partially cloudy,Partly cloudy throughout the day.
1/13/2016,18.6,29.5,0,0.7,4.65,,12.7,58.60%,Partially cloudy,Partly cloudy throughout the day.
1/14/2016,22.9,37.4,0.01,0.94,5.58,,10.3,84.80%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
1/15/2016,30.3,34.6,0.08,0.75,6.07,,12.2,94.30%,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.
1/16/2016,28.4,37.3,0.01,0.17,6.04,,12,83.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
1/17/2016,32,44.6,0.02,3.22,8.52,,12.2,81.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
1/18/2016,33.9,40.4,0.24,0,6.25,,11.4,92.60%,"Rain, Overcast",Cloudy skies throughout the day with rain.
1/19/2016,27,39.5,0,0.02,5.59,31.1,23.9,88.70%,Partially cloudy,Partly cloudy throughout the day.
1/20/2016,29.6,39.6,0.07,0.02,5.31,36.9,26.4,72.70%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
1/21/2016,26.4,40.2,0,0,5.32,27.7,11.6,43.80%,Partially cloudy,Partly cloudy throughout the day.
1/22/2016,27.6,41.5,0,0,4.98,,14.3,65.70%,Partially cloudy,Partly cloudy throughout the day.
1/23/2016,28.5,39.4,0.3,1.97,5.79,,13.1,89.90%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
1/24/2016,31.6,35.7,0.22,1.42,7.21,,9.3,92.20%,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.
1/25/2016,25.6,35.7,0,0.09,7.3,,7.7,64.90%,Partially cloudy,Partly cloudy throughout the day.
1/26/2016,21.4,38.3,0,0,6.74,,8.4,48.70%,Partially cloudy,Partly cloudy throughout the day.
1/27/2016,20.4,36.2,0,0,6.1,,10.7,45.60%,Partially cloudy,Partly cloudy throughout the day.
1/28/2016,22.5,36.7,0,0,5.85,,9.6,43.80%,Partially cloudy,Partly cloudy throughout the day.
1/29/2016,26.9,45.7,0.04,0.83,6.59,31.1,20.7,80.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.
1/30/2016,26,46.3,0.48,1.67,7.78,30,20.6,87.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.
1/31/2016,20.5,29.7,0.01,0.82,8.42,32.2,10.1,72.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
2/1/2016,20.1,29.5,0.05,0.31,8.73,34.4,24.7,88.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
2/2/2016,13.7,27.9,0,0,7.71,,7.6,64.30%,Partially cloudy,Partly cloudy throughout the day.
2/3/2016,18,28.9,0,0.36,6.02,,11.9,64.50%,Partially cloudy,Partly cloudy throughout the day.
2/4/2016,18.7,29.6,0.02,1.19,7.21,,10,84.80%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
2/5/2016,26.9,38.3,0.02,0.1,7.31,,8.9,74.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
2/6/2016,21.9,40.1,0,0,7.03,20.8,13.4,46.30%,Partially cloudy,Partly cloudy throughout the day.
2/7/2016,23.9,38.6,0,0,6.81,,8.4,53.90%,Partially cloudy,Partly cloudy throughout the day.
2/8/2016,22.8,38.7,0,0,6.35,,8.1,44.20%,Partially cloudy,Partly cloudy throughout the day.
2/9/2016,24.9,39.5,0,0,6.03,,8.6,6.40%,Clear,Clear conditions throughout the day.
2/10/2016,26.9,33.1,0,0.53,6.1,,9.7,90.20%,Overcast,Cloudy skies throughout the day.
2/11/2016,27.9,33.1,0,0,5.82,,10.1,95.50%,Overcast,Cloudy skies throughout the day.
2/12/2016,28.8,33.9,0.01,0,4.77,,10,96.90%,"Snow, Overcast",Cloudy skies throughout the day with morning rain.
2/13/2016,28.1,35.8,0,0.1,3.97,,11.1,78.30%,Partially cloudy,Partly cloudy throughout the day.
2/14/2016,28.9,42.7,0.1,0.06,3.96,,12.5,91.30%,"Snow, Overcast",Cloudy skies throughout the day with snow.
2/15/2016,38,55.8,0,0,3.72,,10.2,83.00%,Partially cloudy,Partly cloudy throughout the day.
2/16/2016,37.9,57.5,0,0,3.53,,13.5,66.80%,Partially cloudy,Partly cloudy throughout the day.
2/17/2016,37.1,60.3,0,0,3.32,39.1,26,89.70%,Partially cloudy,Partly cloudy throughout the day.
2/18/2016,33.2,56.5,0.29,0.51,1.04,51.7,36,81.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2/19/2016,34,55.8,0,0.3,0.81,29.9,20.5,53.40%,Partially cloudy,Partly cloudy throughout the day.
2/20/2016,37,48.7,0,0,0.27,,12.8,62.40%,Partially cloudy,Partly cloudy throughout the day.
2/21/2016,30.9,48.7,0,0,0,,9.9,62.00%,Partially cloudy,Partly cloudy throughout the day.
2/22/2016,34,43,0.01,0,0,25.3,16.9,73.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2/23/2016,28.2,44,0,0,0,,10.1,25.60%,Partially cloudy,Partly cloudy throughout the day.
2/24/2016,29,49.7,0,0,0,,11.1,50.30%,Partially cloudy,Partly cloudy throughout the day.
2/25/2016,30,53.8,0,0,0,,10.3,20.90%,Partially cloudy,Partly cloudy throughout the day.
2/26/2016,33.2,61.7,0,0,0,,9.3,27.60%,Partially cloudy,Partly cloudy throughout the day.
2/27/2016,39.8,64.6,0,0,0,32.8,22.9,68.30%,Partially cloudy,Partly cloudy throughout the day.
2/28/2016,33.1,56.8,0,0,0,,8.3,49.30%,Partially cloudy,Becoming cloudy in the afternoon.
2/29/2016,38.8,52.9,0,0,0,17.2,10.4,68.50%,Partially cloudy,Partly cloudy throughout the day.
3/1/2016,35.1,60.9,0,0,0,,14.6,72.40%,Partially cloudy,Partly cloudy throughout the day.
3/2/2016,41.1,58.9,0,0,0,31.1,22.3,53.70%,Partially cloudy,Clearing in the afternoon.
3/3/2016,38,67.5,0,0,0,,14.8,69.90%,Partially cloudy,Partly cloudy throughout the day.
3/4/2016,43.1,66.6,0,0,0,,12.4,72.70%,Partially cloudy,Partly cloudy throughout the day.
3/5/2016,51.2,66.7,0,0,0,20.8,16.9,80.50%,Partially cloudy,Partly cloudy throughout the day.
3/6/2016,34.1,60.7,0.53,0.53,0.53,44.6,24.7,85.70%,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.
3/7/2016,34,48.7,0.03,0.32,0.85,,9.1,56.30%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
3/8/2016,31.9,51.9,0,0,0.28,25.3,9.4,31.30%,Partially cloudy,Partly cloudy throughout the day.
3/9/2016,39.7,51.9,0.04,0,0,,12.3,81.90%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
3/10/2016,40.9,66.7,0,0,0,,18,66.20%,Partially cloudy,Partly cloudy throughout the day.
3/11/2016,50.9,65,0,0,0,33.3,26.2,70.90%,Partially cloudy,Partly cloudy throughout the day.
3/12/2016,46,60,0,0,0,18.3,14.8,78.80%,Partially cloudy,Partly cloudy throughout the day.
3/13/2016,42.1,60,0,0,0,24.2,14.8,79.30%,Partially cloudy,Partly cloudy throughout the day.
3/14/2016,34,55.8,0.23,0,0,40.8,20.6,92.10%,"Rain, Overcast",Cloudy skies throughout the day with rain.
3/15/2016,33.9,40.7,0,0,0,,10.9,90.00%,Partially cloudy,Partly cloudy throughout the day.
3/16/2016,30.8,51,0,0,0,21.9,10.3,65.10%,Partially cloudy,Partly cloudy throughout the day.
3/17/2016,39.7,53.8,0,0,0,28.9,16.9,72.40%,Partially cloudy,Partly cloudy throughout the day.
3/18/2016,30.7,48.6,0,0,0,,14.5,57.80%,Partially cloudy,Becoming cloudy in the afternoon.
3/19/2016,30.8,56.8,0,0,0,26.4,9,33.40%,Partially cloudy,Partly cloudy throughout the day.
3/20/2016,35.2,69.8,0,0,0,27.7,12.4,35.90%,Partially cloudy,Becoming cloudy in the afternoon.
3/21/2016,51,65.7,0,1.97,1.97,25.3,18.3,84.00%,Partially cloudy,Partly cloudy throughout the day.
3/22/2016,33.2,60.9,0.47,1.28,3.15,34.4,21.3,95.50%,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.
3/23/2016,35.8,47.8,0,0.06,0.39,33.3,15.8,82.00%,Partially cloudy,Partly cloudy throughout the day.
3/24/2016,37,55.8,0,0,0.13,19.7,13.8,77.70%,Partially cloudy,Partly cloudy throughout the day.
3/25/2016,39.7,47.8,0,0,0,25.3,18.2,86.00%,Partially cloudy,Partly cloudy throughout the day.
3/26/2016,34.9,48.8,0,0,0,21.9,14.8,65.40%,Partially cloudy,Partly cloudy throughout the day.
3/27/2016,38.8,61.9,0,0,0,31.1,22.4,83.80%,Partially cloudy,Partly cloudy throughout the day.
3/28/2016,33.1,58.4,0.41,0,0,36.2,24.9,97.20%,"Rain, Overcast",Cloudy skies throughout the day with rain.
3/29/2016,37.9,47.5,0.3,0,0,26.4,15.7,84.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
3/30/2016,37,46.9,0.01,0,0,,11.3,73.20%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
3/31/2016,38,51.1,0.07,0,0,29.8,13.3,89.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
4/1/2016,35,56.8,0,0,0,23,12.7,44.80%,Partially cloudy,Becoming cloudy in the afternoon.
4/2/2016,38,63.8,0,0,0,,10.3,8.70%,Clear,Clear conditions throughout the day.
4/3/2016,44,69.9,0.01,0,0,,12.6,48.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
4/4/2016,48.7,68.9,0,0,0,27.7,19.3,60.80%,Partially cloudy,Partly cloudy throughout the day.
4/5/2016,42.8,55,0,0,0,26.4,21.5,44.10%,Partially cloudy,Clearing in the afternoon.
4/6/2016,37.9,62.7,0,0,0,,11.1,21.80%,Partially cloudy,Partly cloudy throughout the day.
4/7/2016,42.9,69,0,0,0,,12.5,33.10%,Partially cloudy,Partly cloudy throughout the day.
4/8/2016,48,77.9,0,0,0,33.4,10.4,70.90%,Partially cloudy,Partly cloudy throughout the day.
4/9/2016,57.6,67.8,0,0,0,31.1,22.3,87.10%,Partially cloudy,Partly cloudy throughout the day.
4/10/2016,54.9,66.7,0,0,0,28.9,19.5,87.30%,Partially cloudy,Partly cloudy throughout the day.
4/11/2016,51,69.8,0,0,0,,16.9,59.30%,Partially cloudy,Partly cloudy throughout the day.
4/12/2016,50.9,72.9,0,0,0,,11.6,47.80%,Partially cloudy,Clearing in the afternoon.
4/13/2016,51,60.8,0.19,0,0,28.7,17.9,88.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
4/14/2016,37.9,57.5,0.62,0,0,34,23.5,83.90%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
4/15/2016,35,52.9,0.07,0,0,33.3,20.5,69.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
4/16/2016,36,57.7,0,0,0,34.4,25.9,36.80%,Partially cloudy,Partly cloudy throughout the day.
4/17/2016,39,60,0,0,0,33,20.4,38.00%,Partially cloudy,Becoming cloudy in the afternoon.
4/18/2016,46.8,60.8,0,0,0,27.7,16.9,67.00%,Partially cloudy,Partly cloudy throughout the day.
4/19/2016,47.8,65.8,0,0,0,,10.1,49.40%,Partially cloudy,Clearing in the afternoon.
4/20/2016,48.7,74.7,0,0,0,,11.4,29.60%,Partially cloudy,Partly cloudy throughout the day.
4/21/2016,54,81.8,0,0,0,25.3,16.9,70.90%,Partially cloudy,Partly cloudy throughout the day.
4/22/2016,60.8,79.8,0,0,0,45.5,28.5,86.20%,Partially cloudy,Partly cloudy throughout the day.
4/23/2016,44.8,71.9,0.21,0,0,49.4,28.5,93.10%,"Rain, Overcast",Cloudy skies throughout the day with rain.
4/24/2016,44.9,60.9,0.06,0,0,20.8,15.9,86.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
4/25/2016,46.9,60.5,0,0,0,30,19.2,88.20%,Partially cloudy,Partly cloudy throughout the day.
4/26/2016,46,56.9,0.09,0,0,29.8,19.6,90.90%,"Rain, Overcast",Cloudy skies throughout the day with rain.
4/27/2016,44.9,57.6,0.15,0,0,,15.5,89.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
4/28/2016,46.8,56.6,0.05,0,0,38,15.2,89.20%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
4/29/2016,43,56.8,0,0,0,30,10.2,81.50%,Partially cloudy,Partly cloudy throughout the day.
4/30/2016,44,61.8,0,0,0,36.9,18.3,77.90%,Partially cloudy,Partly cloudy throughout the day.
5/1/2016,48.5,63.8,0.03,0,0,33.4,22.9,65.60%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
5/2/2016,43.1,68.9,0,0,0,30,15.7,34.80%,Partially cloudy,Clearing in the afternoon.
5/3/2016,46.9,73,0,0,0,28.9,11.2,14.30%,Clear,Clear conditions throughout the day.
5/4/2016,53.7,81.8,0,0,0,31.1,22.3,60.20%,Partially cloudy,Partly cloudy throughout the day.
5/5/2016,63.7,82.8,0,0,0,27.7,20.1,83.40%,Partially cloudy,Partly cloudy throughout the day.
5/6/2016,53.8,71.5,0.09,0,0,40.3,23.7,84.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
5/7/2016,46.1,60.9,0.16,0,0,26.4,13.9,75.80%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
5/8/2016,49.8,55,0.25,0,0,,11.4,94.80%,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
5/9/2016,51,66.7,0.39,0,0,34.4,23.9,77.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
5/10/2016,42.8,58.8,0,0,0,31.1,13.6,52.30%,Partially cloudy,Partly cloudy throughout the day.
5/11/2016,41.9,61.8,0.01,0,0,27.7,11.3,27.20%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
5/12/2016,43.8,76.7,0,0,0,20.8,11.1,32.70%,Partially cloudy,Partly cloudy throughout the day.
5/13/2016,53.9,84.5,0,0,0,18.3,13.8,59.90%,Partially cloudy,Partly cloudy throughout the day.
5/14/2016,59.9,86.9,0,0,0,32.3,22.6,57.50%,Partially cloudy,Partly cloudy throughout the day.
5/15/2016,57.7,71.7,0,0,0,37.5,22.6,89.10%,Partially cloudy,Partly cloudy throughout the day.
5/16/2016,51,64.9,0.01,0,0,28.9,14.7,82.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
5/17/2016,54.9,68.9,0,0,0,34,16,71.30%,Partially cloudy,Partly cloudy throughout the day.
5/18/2016,50.9,74.7,0,0,0,24.2,13.6,36.70%,Partially cloudy,Partly cloudy throughout the day.
5/19/2016,55.8,81.9,0.15,0,0,39.5,27.1,65.60%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
5/20/2016,55.5,77.9,0.09,0,0,48.1,33,93.20%,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.
5/21/2016,48.8,70.8,0.4,0,0,33.9,21.4,78.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
5/22/2016,46.9,60,0.02,0,0,33.3,17.7,67.60%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
5/23/2016,44.7,68.9,0,0,0,,13.4,70.30%,Partially cloudy,Partly cloudy throughout the day.
5/24/2016,52,70.7,0.01,0,0,32.1,25.8,71.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
5/25/2016,51.8,66.6,0,0,0,,13.5,71.50%,Partially cloudy,Partly cloudy throughout the day.
5/26/2016,48.6,70.9,0,0,0,23,14.5,38.20%,Partially cloudy,Partly cloudy throughout the day.
5/27/2016,53.6,71.7,0.01,0,0,23,13.6,61.70%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
5/28/2016,53.6,74.6,0,0,0,17.2,14.7,50.70%,Partially cloudy,Partly cloudy throughout the day.
5/29/2016,56.6,78.8,0,0,0,35.5,20.2,74.50%,Partially cloudy,Partly cloudy throughout the day.
5/30/2016,55.9,77.9,0.02,0,0,33.2,23.8,62.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
5/31/2016,52.8,76.8,0,0,0,19.7,13.5,24.10%,Partially cloudy,Partly cloudy throughout the day.
6/1/2016,55.7,81.9,0.01,0,0,25.3,11.1,33.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
6/2/2016,61.8,87.8,0.01,0,0,26.2,15.7,49.60%,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
6/3/2016,60,84.6,0,0,0,39.1,12.6,42.70%,Partially cloudy,Clearing in the afternoon.
6/4/2016,61.8,90.8,0,0,0,26.4,9.1,10.90%,Clear,Clear conditions throughout the day.
6/5/2016,65.6,94.7,0,0,0,25.3,10.1,22.10%,Partially cloudy,Partly cloudy throughout the day.
6/6/2016,70.8,95.9,0.01,0,0,39.7,25.1,72.70%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
6/7/2016,70.7,89.7,0,0,0,26.4,16.6,79.10%,Partially cloudy,Partly cloudy throughout the day.
6/8/2016,68.8,93.6,0,0,0,,11.3,38.80%,Partially cloudy,Becoming cloudy in the afternoon.
6/9/2016,76.7,93.5,0,0,0,29.8,16.7,59.60%,Partially cloudy,Partly cloudy throughout the day.
6/10/2016,74.6,92.6,0,0,0,37.7,27.3,74.50%,Partially cloudy,Partly cloudy throughout the day.
6/11/2016,57.7,78.6,0.3,0,0,34,20.4,90.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
6/12/2016,55.9,76.8,0.01,0,0,32.3,19.4,64.20%,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.
6/13/2016,59.9,73.8,0.18,0,0,31.1,14.9,67.00%,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
6/14/2016,56.8,86.8,0,0,0,33.3,22.8,57.00%,Partially cloudy,Partly cloudy throughout the day.
6/15/2016,57.8,91.8,0,0,0,49.1,34,33.20%,Partially cloudy,Partly cloudy throughout the day.
6/16/2016,55.8,79.8,0,0,0,33.2,23.7,19.60%,Clear,Clear conditions throughout the day.
6/17/2016,56.7,88.7,0,0,0,48.3,19.1,12.10%,Clear,Clear conditions throughout the day.
6/18/2016,69.8,94.7,0,0,0,32.2,24,53.90%,Partially cloudy,Partly cloudy throughout the day.
6/19/2016,62.6,86.9,0,0,0,,12.6,36.90%,Partially cloudy,Partly cloudy throughout the day.
6/20/2016,65.8,98.7,0,0,0,31.1,13.6,26.30%,Partially cloudy,Partly cloudy throughout the day.
6/21/2016,71.7,94.8,0,0,0,28.9,14.6,52.40%,Partially cloudy,Becoming cloudy in the afternoon.
6/22/2016,65.7,96.8,0,0,0,29.9,11.2,44.70%,Partially cloudy,Partly cloudy throughout the day.
6/23/2016,73.8,96.8,0,0,0,24.2,17.6,43.00%,Partially cloudy,Clearing in the afternoon.
6/24/2016,69.6,89.7,0,0,0,25.3,18.1,12.20%,Clear,Clear conditions throughout the day.
6/25/2016,59.9,80.7,0.03,0,0,31.1,14.9,1.20%,Rain,Clear conditions throughout the day with morning rain.
6/26/2016,59.7,91.8,0.03,0,0,26.4,10.1,11.00%,Rain,Clear conditions throughout the day with morning rain.
6/27/2016,64.9,99.9,0,0,0,33.3,10.1,13.00%,Clear,Clear conditions throughout the day.
6/28/2016,73.7,102.5,0,0,0,44.7,34.9,54.40%,Partially cloudy,Partly cloudy throughout the day.
6/29/2016,76.7,96,0,0,0,39.7,25.3,84.60%,Partially cloudy,Partly cloudy throughout the day.
6/30/2016,72.8,91.8,0.02,0,0,32.2,17,78.70%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
7/1/2016,70.8,88.9,0.01,0,0,19.7,10.3,74.50%,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
7/2/2016,70.7,92.7,0.01,0,0,19.7,12.6,56.90%,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.
7/3/2016,70.8,92.8,0,0,0,36.8,23.5,54.00%,Partially cloudy,Partly cloudy throughout the day.
7/4/2016,75.6,97.8,0,0,0,29.4,20.6,61.70%,Partially cloudy,Partly cloudy throughout the day.
7/5/2016,70.7,93.5,0,0,0,55.3,17.8,58.50%,Partially cloudy,Clearing in the afternoon.
7/6/2016,67.6,88.9,0.01,0,0,25.1,15.8,49.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
7/7/2016,62.8,90.9,0,0,0,18.3,14.6,26.70%,Partially cloudy,Partly cloudy throughout the day.
7/8/2016,73.8,97.9,0,0,0,36.8,24.4,37.90%,Partially cloudy,Becoming cloudy in the afternoon.
7/9/2016,77.8,97.9,0,0,0,34.4,27.7,31.20%,Partially cloudy,Becoming cloudy in the afternoon.
7/10/2016,64.8,87,0,0,0,36.2,27.6,42.60%,Partially cloudy,Becoming cloudy in the afternoon.
7/11/2016,51.9,75.6,0,0,0,29.8,13.7,21.80%,Partially cloudy,Partly cloudy throughout the day.
7/12/2016,57.5,88.7,0,0,0,28.9,15.7,14.10%,Clear,Clear conditions throughout the day.
7/13/2016,63.7,88.8,0,0,0,20.8,13.5,3.30%,Clear,Clear conditions throughout the day.
7/14/2016,63.8,93.5,0,0,0,28.9,11,7.70%,Clear,Clear conditions throughout the day.
7/15/2016,66.7,97.7,0,0,0,28.9,14.7,63.80%,Partially cloudy,Partly cloudy throughout the day.
7/16/2016,70.9,93.5,0,0,0,21.9,13.7,60.70%,Partially cloudy,Clearing in the afternoon.
7/17/2016,66.7,97.6,0,0,0,31.1,22.2,50.80%,Partially cloudy,Partly cloudy throughout the day.
7/18/2016,78,97,0,0,0,41.1,26.1,49.80%,Partially cloudy,Becoming cloudy in the afternoon.
7/19/2016,78.2,97,0,0,0,32.6,24,53.10%,Partially cloudy,Partly cloudy throughout the day.
7/20/2016,78.9,99.9,0,0,0,31.6,23.9,29.20%,Partially cloudy,Partly cloudy throughout the day.
7/21/2016,78.8,100.8,0,0,0,28.9,20.4,38.20%,Partially cloudy,Partly cloudy throughout the day.
7/22/2016,80.8,101.6,0,0,0,34.4,18,54.20%,Partially cloudy,Partly cloudy throughout the day.
7/23/2016,66.9,93.6,0.01,0,0,30,14.7,35.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
7/24/2016,64.1,95.9,0,0,0,31.1,10.1,16.80%,Clear,Clear conditions throughout the day.
7/25/2016,71.7,100.7,0,0,0,25.3,14.6,31.20%,Partially cloudy,Clearing in the afternoon.
7/26/2016,77.9,102.5,0,0,0,25.3,15.8,39.50%,Partially cloudy,Clearing in the afternoon.
7/27/2016,70.8,100.8,0,0,0,23,13.5,11.90%,Clear,Clear conditions throughout the day.
7/28/2016,73.8,100.8,0,0,0,20.8,11.1,27.50%,Partially cloudy,Partly cloudy throughout the day.
7/29/2016,72.9,100.7,0,0,0,20.8,14.5,28.00%,Partially cloudy,Clearing in the afternoon.
7/30/2016,75.5,99.5,0,0,0,40.3,28.7,69.40%,Partially cloudy,Partly cloudy throughout the day.
7/31/2016,76.7,98.7,0,0,0,26.4,17,48.00%,Partially cloudy,Clearing in the afternoon.
8/1/2016,76.7,98.7,0,0,0,19.7,12.6,37.20%,Partially cloudy,Clearing in the afternoon.
8/2/2016,74.7,99.8,0,0,0,26.4,19.1,42.30%,Partially cloudy,Becoming cloudy in the afternoon.
8/3/2016,78.8,93.6,0,0,0,20.8,15.7,56.20%,Partially cloudy,Partly cloudy throughout the day.
8/4/2016,62.7,91.8,0,0,0,26.4,13.6,52.80%,Partially cloudy,Partly cloudy throughout the day.
8/5/2016,71.7,89.6,0,0,0,19.7,13.7,74.80%,Partially cloudy,Partly cloudy throughout the day.
8/6/2016,71.6,91.9,0.03,0,0,29.3,20.4,49.00%,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
8/7/2016,75.7,96.7,0.04,0,0,47.5,24.6,66.20%,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
8/8/2016,66.6,95.9,0,0,0,24.2,15.6,44.60%,Partially cloudy,Partly cloudy throughout the day.
8/9/2016,76.7,96.7,0,0,0,37.7,22.8,47.90%,Partially cloudy,Partly cloudy throughout the day.
8/10/2016,63.9,89.2,0.03,0,0,35.6,15.7,66.40%,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.
8/11/2016,63.9,87.8,0.03,0,0,36.4,17,34.10%,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
8/12/2016,61.9,90.8,0,0,0,21.9,12.7,8.70%,Clear,Clear conditions throughout the day.
8/13/2016,64.8,92.7,0,0,0,21.9,16.9,32.80%,Partially cloudy,Partly cloudy throughout the day.
8/14/2016,65.8,97.8,0,0,0,24.2,11.4,28.40%,Partially cloudy,Partly cloudy throughout the day.
8/15/2016,75.5,92.6,0,0,0,44.8,23.2,79.10%,Partially cloudy,Partly cloudy throughout the day.
8/16/2016,67.5,94.6,0,0,0,28.9,13,37.10%,Partially cloudy,Partly cloudy throughout the day.
8/17/2016,73.8,92.5,0,0,0,31.8,20.5,58.70%,Partially cloudy,Partly cloudy throughout the day.
8/18/2016,69.7,91.4,0,0,0,25.3,15.6,57.80%,Partially cloudy,Partly cloudy throughout the day.
8/19/2016,70.6,89.5,0,0,0,23,16.3,23.90%,Partially cloudy,Partly cloudy throughout the day.
8/20/2016,61.7,88.6,0,0,0,25.3,10.5,13.90%,Clear,Clear conditions throughout the day.
8/21/2016,63.6,94.3,0,0,0,21.9,14,26.10%,Partially cloudy,Partly cloudy throughout the day.
8/22/2016,72.7,93.3,0.01,0,0,24.2,14.4,54.40%,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.
8/23/2016,67.7,89.4,0,0,0,21.9,14.8,45.90%,Partially cloudy,Partly cloudy throughout the day.
8/24/2016,60.7,82.5,0,0,0,33.3,19.9,23.30%,Partially cloudy,Partly cloudy throughout the day.
8/25/2016,55.1,83.4,0,0,0,31.1,12.1,47.90%,Partially cloudy,Partly cloudy throughout the day.
